zone,num_passenger,date,day,time
4,61,7/1/2018,Sunday,1
12,5,7/1/2018,Sunday,1
13,151,7/1/2018,Sunday,1
24,85,7/1/2018,Sunday,1
41,169,7/1/2018,Sunday,1
42,77,7/1/2018,Sunday,1
43,221,7/1/2018,Sunday,1
45,52,7/1/2018,Sunday,1
48,840,7/1/2018,Sunday,1
50,293,7/1/2018,Sunday,1
68,357,7/1/2018,Sunday,1
74,188,7/1/2018,Sunday,1
75,339,7/1/2018,Sunday,1
79,349,7/1/2018,Sunday,1
87,162,7/1/2018,Sunday,1
88,57,7/1/2018,Sunday,1
90,340,7/1/2018,Sunday,1
100,439,7/1/2018,Sunday,1
107,517,7/1/2018,Sunday,1
113,186,7/1/2018,Sunday,1
114,109,7/1/2018,Sunday,1
116,59,7/1/2018,Sunday,1
125,74,7/1/2018,Sunday,1
137,294,7/1/2018,Sunday,1
140,372,7/1/2018,Sunday,1
141,365,7/1/2018,Sunday,1
142,502,7/1/2018,Sunday,1
143,274,7/1/2018,Sunday,1
144,84,7/1/2018,Sunday,1
148,208,7/1/2018,Sunday,1
151,270,7/1/2018,Sunday,1
152,54,7/1/2018,Sunday,1
158,92,7/1/2018,Sunday,1
161,562,7/1/2018,Sunday,1
162,556,7/1/2018,Sunday,1
163,468,7/1/2018,Sunday,1
164,401,7/1/2018,Sunday,1
166,135,7/1/2018,Sunday,1
170,520,7/1/2018,Sunday,1
186,617,7/1/2018,Sunday,1
209,35,7/1/2018,Sunday,1
211,75,7/1/2018,Sunday,1
224,112,7/1/2018,Sunday,1
229,320,7/1/2018,Sunday,1
230,772,7/1/2018,Sunday,1
231,220,7/1/2018,Sunday,1
232,38,7/1/2018,Sunday,1
233,311,7/1/2018,Sunday,1
234,297,7/1/2018,Sunday,1
236,429,7/1/2018,Sunday,1
237,381,7/1/2018,Sunday,1
238,561,7/1/2018,Sunday,1
239,697,7/1/2018,Sunday,1
243,14,7/1/2018,Sunday,1
244,56,7/1/2018,Sunday,1
